"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","732-5318-ND","61300511121","CONN HEADER VERT 5POS 2.54MM","","1","0","0.26000","0.26"
"2","2","450-1129-ND","FSM4JSMA","SWITCH TACTILE SPST-NO 0.05A 24V","","2","0","0.27000","0.54"
"3","1","768-1156-5-ND","FT231XS-U","IC USB SERIAL FULL UART 20SSOP","","1","0","2.34000","2.34"
"4","1","445-8201-1-ND","CGJ4J2X7R0J474K125AA","CAP CER 0.47UF 6.3V X7R 0805","","1","0","0.43000","0.43"
"5","1","1428-1052-1-ND","ICM-20608-G","IMU ACCEL/GYRO I2C/SPI 16LGA","","1","0","7.58000","7.58"
"6","2","478-11894-1-ND","08055A6R0CAT2A","CAP CER 6PF 50V C0G/NP0 0805","","2","0","0.24000","0.48"
"7","3","732-4983-1-ND","150080GS75000","LED GREEN CLEAR 0805 SMD","","3","0","0.19000","0.57"
"8","1","732-4984-1-ND","150080RS75000","LED RED CLEAR 0805 SMD","","1","0","0.19000","0.19"
"9","2","732-3155-1-ND","629105136821","CONN RCPT USB2.0 MICRO B SMD R/A","","2","0","1.29000","2.58"
"10","1","535-11937-1-ND","ABS07-120-32.768KHZ-T","CRYSTAL 32.7680KHZ 6PF SMD","","1","0","0.84000","0.84"
"11","1","490-1038-1-ND","BLM21AG121SN1D","FERRITE BEAD 120 OHM 0805 1LN","","1","0","0.16000","0.16"
"12","1","399-C0805C104K5RAC7800CT-ND","C0805C104K5RAC7800","CAP CER 0.1UF 50V X7R 0805","","1","0","0.14000","0.14"
"13","1","399-C0805C104K9RAC7800CT-ND","C0805C104K9RAC7800","CAP CER 0.1UF 6.3V X7R 0805","","1","0","0.19000","0.19"
"14","1","399-C0805C225K9PAC7800CT-ND","C0805C225K9PAC7800","CAP CER 2.2UF 6.3V X5R 0805","","1","0","0.31000","0.31"
"15","5","1276-1003-1-ND","CL21B104KBCNNNC","CAP CER 0.1UF 50V X7R 0805","","5","0","0.10000","0.50"
"16","2","A129730CT-ND","CRGCQ0805F27R","RES 27 OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"17","9","P100DACT-ND","ERA-6AEB101V","RES 100 OHM 0.1% 1/8W 0805","","0","9","0.36000","3.24"
"18","1","P1.0KDACT-ND","ERA-6AEB102V","RES 1K OHM 0.1% 1/8W 0805","","0","1","0.36000","0.36"
"19","1","P110DACT-ND","ERA-6AEB111V","RES 110 OHM 0.1% 1/8W 0805","","0","1","0.36000","0.36"
"20","2","P330DBCT-ND","ERA-3AEB331V","RES SMD 330 OHM 0.1% 1/10W 0603","","2","0","0.35000","0.70"
"21","3","490-10498-1-ND","GRM21BC81C106KE15L","CAP CER 10UF 16V X6S 0805","","3","0","0.18000","0.54"
"22","1","MCP112T-300E/TTCT-ND","MCP112T-300E/TT","IC SUPERVISOR 1 CHANNEL SOT23-3","","1","0","0.64000","0.64"
"23","1","MCP809T-450I/TTCT-ND","MCP809T-450I/TT","IC SUPERVISOR 1 CHANNEL SOT23-3","","1","0","0.64000","0.64"
"24","3","311-10.0KCRCT-ND","RC0805FR-0710KL","RES 10K OHM 1% 1/8W 0805","","3","0","0.10000","0.30"
"25","2","311-330CRCT-ND","RC0805FR-07330RL","RES 330 OHM 1% 1/8W 0805","","2","0","0.10000","0.20"
"26","10","36-5019CT-ND","5019","PC TEST POINT MINIATURE","","10","0","0.34000","3.40"
"27","1","399-C0805C103K5RAC7800CT-ND","C0805C103K5RAC7800","CAP CER 10000PF 50V X7R 0805","","1","0","0.11000","0.11"
"28","1","399-14549-1-ND","C0805C103K8RAC7800","CAP CER 10000PF 10V X7R 0805","","1","0","0.16000","0.16"
"29","1","490-4539-1-ND","GRM31CR60J107ME39L","CAP CER 100UF 6.3V X5R 1206","","1","0","0.78000","0.78"
"30","2","296-SN74AHC1G08DBV3CT-ND","SN74AHC1G08DBV3","IC GATE AND 1CH 2-INP SOT23-5","","2","0","0.53000","1.06"
"31","1","296-35976-1-ND","TLV1117LV33DCYT","IC REG LINEAR 3.3V 1A SOT223-4","","1","0","0.91000","0.91"